Zip Code,Receive Date/Time
60804-0000,"Wed, 20 Jan 2021 10:55:22 CST"
60804-0000,"Wed, 20 Jan 2021 11:00:05 CST"
60804-0000,"Wed, 20 Jan 2021 10:58:02 CST"
60804-0000,"Wed, 20 Jan 2021 10:58:13 CST"
60804-0000,"Wed, 20 Jan 2021 10:58:59 CST"
60804,"Wed, 20 Jan 2021 11:00:17 CST"
60402-0000,"Wed, 20 Jan 2021 11:02:28 CST"
60526-0000,"Wed, 20 Jan 2021 11:02:51 CST"
60402-0000,"Wed, 20 Jan 2021 11:04:01 CST"
60402-0000,"Wed, 20 Jan 2021 11:18:25 CST"
,"Wed, 20 Jan 2021 11:05:01 CST"
,"Wed, 20 Jan 2021 11:07:53 CST"
,"Wed, 20 Jan 2021 11:10:43 CST"
,"Wed, 20 Jan 2021 11:14:06 CST"
,"Wed, 20 Jan 2021 11:24:00 CST"
,"Wed, 20 Jan 2021 11:25:07 CST"
60804-0000,"Wed, 20 Jan 2021 11:29:24 CST"
60439-0000,"Wed, 20 Jan 2021 11:30:29 CST"
60804-0000,"Wed, 20 Jan 2021 11:31:05 CST"
60804-0000,"Wed, 20 Jan 2021 11:43:46 CST"
60657-0000,"Wed, 20 Jan 2021 11:32:31 CST"
60657-0000,"Wed, 20 Jan 2021 11:33:58 CST"
60477,"Wed, 20 Jan 2021 11:35:54 CST"
608040000,"Wed, 20 Jan 2021 11:36:46 CST"
60629-0000,"Wed, 20 Jan 2021 11:37:29 CST"
60022-0000,"Wed, 20 Jan 2021 11:38:33 CST"
60629-0000,"Wed, 20 Jan 2021 11:38:53 CST"
60629-0000,"Wed, 20 Jan 2021 12:03:57 CST"
,"Wed, 20 Jan 2021 11:39:27 CST"
60022-0000,"Wed, 20 Jan 2021 11:39:35 CST"
60035-0000,"Wed, 20 Jan 2021 11:40:57 CST"
60515-0000,"Wed, 20 Jan 2021 11:41:02 CST"
60035-0000,"Wed, 20 Jan 2021 11:42:34 CST"
60804-0000,"Wed, 20 Jan 2021 11:42:38 CST"
60804-0000,"Wed, 20 Jan 2021 12:12:34 CST"
60302-0000,"Wed, 20 Jan 2021 11:45:34 CST"
60804-0000,"Wed, 20 Jan 2021 11:46:00 CST"
60302-0000,"Wed, 20 Jan 2021 11:47:07 CST"
60804-0000,"Wed, 20 Jan 2021 11:47:20 CST"
,"Wed, 20 Jan 2021 11:48:29 CST"
60804-0000,"Wed, 20 Jan 2021 11:48:53 CST"
60804,"Wed, 20 Jan 2021 11:49:49 CST"
60526-0000,"Wed, 20 Jan 2021 11:50:50 CST"
,"Wed, 20 Jan 2021 11:54:49 CST"
60526-0000,"Wed, 20 Jan 2021 11:58:45 CST"
60804-0000,"Wed, 20 Jan 2021 12:00:13 CST"
,"Wed, 20 Jan 2021 12:00:54 CST"
60804-0000,"Wed, 20 Jan 2021 12:01:08 CST"
60804-0000,"Wed, 20 Jan 2021 12:02:24 CST"
60804-0000,"Wed, 20 Jan 2021 12:03:22 CST"
,"Wed, 20 Jan 2021 12:05:11 CST"
60402-0000,"Wed, 20 Jan 2021 12:06:35 CST"
60804-0000,"Wed, 20 Jan 2021 12:06:46 CST"
60804-0000,"Wed, 20 Jan 2021 12:13:12 CST"
60525,"Wed, 20 Jan 2021 12:15:40 CST"
,"Wed, 20 Jan 2021 12:16:25 CST"
60804-0000,"Wed, 20 Jan 2021 12:17:25 CST"
,"Wed, 20 Jan 2021 12:18:26 CST"
60804-0000,"Wed, 20 Jan 2021 12:21:46 CST"
,"Wed, 20 Jan 2021 12:22:29 CST"
60804,"Wed, 20 Jan 2021 12:24:35 CST"
,"Wed, 20 Jan 2021 12:25:47 CST"
60804-0000,"Wed, 20 Jan 2021 12:26:18 CST"
60045-0000,"Wed, 20 Jan 2021 12:28:22 CST"
60045-0000,"Wed, 20 Jan 2021 12:57:00 CST"
,"Wed, 20 Jan 2021 12:29:07 CST"
60045-0000,"Wed, 20 Jan 2021 12:30:07 CST"
60045-0000,"Wed, 20 Jan 2021 12:55:30 CST"
,"Wed, 20 Jan 2021 12:30:36 CST"
,"Wed, 20 Jan 2021 12:31:26 CST"
60804-0000,"Wed, 20 Jan 2021 12:31:57 CST"
,"Wed, 20 Jan 2021 12:33:34 CST"
60402-0000,"Wed, 20 Jan 2021 12:33:39 CST"
60513-0000,"Wed, 20 Jan 2021 12:35:02 CST"
60513-0000,"Wed, 20 Jan 2021 12:36:59 CST"
60194,"Wed, 20 Jan 2021 12:39:48 CST"
60638-0000,"Wed, 20 Jan 2021 12:41:20 CST"
60638-0000,"Wed, 20 Jan 2021 12:42:59 CST"
60638-0000,"Wed, 20 Jan 2021 12:44:34 CST"
60527-0000,"Wed, 20 Jan 2021 12:46:20 CST"
60527-0000,"Wed, 20 Jan 2021 12:48:22 CST"
60804,"Wed, 20 Jan 2021 12:50:14 CST"
60804,"Wed, 20 Jan 2021 12:56:49 CST"
60804-0000,"Wed, 20 Jan 2021 13:02:00 CST"
60402,"Wed, 20 Jan 2021 13:05:01 CST"
60804-0000,"Wed, 20 Jan 2021 13:19:13 CST"
60804-0000,"Wed, 20 Jan 2021 13:46:37 CST"
60130-0000,"Wed, 20 Jan 2021 13:20:34 CST"
60130-0000,"Wed, 20 Jan 2021 13:22:13 CST"
60804-0000,"Wed, 20 Jan 2021 13:23:43 CST"
60804-0000,"Wed, 20 Jan 2021 13:25:46 CST"
60804-0000,"Wed, 20 Jan 2021 14:07:14 CST"
60525-0000,"Wed, 20 Jan 2021 13:27:21 CST"
60525-0000,"Wed, 20 Jan 2021 14:04:05 CST"
60513-0000,"Wed, 20 Jan 2021 13:28:43 CST"
60513-0000,"Wed, 20 Jan 2021 14:09:16 CST"
60513-0000,"Wed, 20 Jan 2021 13:30:13 CST"
60513-0000,"Wed, 20 Jan 2021 14:07:46 CST"
60804,"Wed, 20 Jan 2021 13:34:32 CST"
60804-0000,"Wed, 20 Jan 2021 13:49:04 CST"
608040000,"Wed, 20 Jan 2021 13:51:35 CST"
60561-0000,"Wed, 20 Jan 2021 13:53:01 CST"
60567-0000,"Wed, 20 Jan 2021 13:54:33 CST"
60567-0000,"Wed, 20 Jan 2021 14:38:11 CST"
60154-0000,"Wed, 20 Jan 2021 13:56:32 CST"
60154-0000,"Wed, 20 Jan 2021 14:37:16 CST"
60608-0000,"Wed, 20 Jan 2021 13:58:02 CST"
60608-0000,"Wed, 20 Jan 2021 14:40:25 CST"
60062-0000,"Wed, 20 Jan 2021 14:00:06 CST"
60062-0000,"Wed, 20 Jan 2021 14:01:43 CST"
606390000,"Wed, 20 Jan 2021 14:04:31 CST"
60402-0000,"Wed, 20 Jan 2021 14:05:58 CST"
60402-0000,"Wed, 20 Jan 2021 14:43:09 CST"
60402-0000,"Wed, 20 Jan 2021 14:07:22 CST"
60561,"Wed, 20 Jan 2021 14:08:48 CST"
60527,"Wed, 20 Jan 2021 14:15:49 CST"
60804-0000,"Wed, 20 Jan 2021 14:18:09 CST"
60804-0000,"Wed, 20 Jan 2021 14:54:22 CST"
60804-0000,"Wed, 20 Jan 2021 14:19:44 CST"
60804-0000,"Wed, 20 Jan 2021 14:56:26 CST"
60091,"Wed, 20 Jan 2021 14:21:47 CST"
60091,"Wed, 20 Jan 2021 14:22:59 CST"
60091,"Wed, 20 Jan 2021 14:24:35 CST"
60804-0000,"Wed, 20 Jan 2021 14:57:25 CST"
60804-0000,"Wed, 20 Jan 2021 15:49:34 CST"
60804-0000,"Wed, 20 Jan 2021 16:29:31 CST"
60804-0000,"Wed, 20 Jan 2021 14:58:08 CST"
60804-0000,"Wed, 20 Jan 2021 15:48:57 CST"
60804-0000,"Wed, 20 Jan 2021 16:26:50 CST"
60804-0000,"Wed, 20 Jan 2021 15:01:03 CST"
60804-0000,"Wed, 20 Jan 2021 15:50:18 CST"
60804-0000,"Wed, 20 Jan 2021 16:29:45 CST"
60090,"Wed, 20 Jan 2021 15:02:24 CST"
60804,"Tue, 19 Jan 2021 15:00:07 CST"
60804,"Tue, 19 Jan 2021 15:01:18 CST"
60804,"Tue, 19 Jan 2021 15:03:15 CST"
60804,"Tue, 19 Jan 2021 15:04:12 CST"
60804,"Tue, 19 Jan 2021 15:08:10 CST"
60804,"Tue, 19 Jan 2021 15:06:51 CST"
60804,"Tue, 19 Jan 2021 15:08:09 CST"
60804,"Tue, 19 Jan 2021 15:12:41 CST"
60804,"Tue, 19 Jan 2021 15:11:26 CST"
60657,"Tue, 19 Jan 2021 15:17:02 CST"
,"Tue, 19 Jan 2021 15:18:50 CST"
60804,"Tue, 19 Jan 2021 15:31:57 CST"
60126,"Tue, 19 Jan 2021 15:36:09 CST"
,"Tue, 19 Jan 2021 15:36:16 CST"
60623,"Tue, 19 Jan 2021 15:37:41 CST"
,"Tue, 19 Jan 2021 15:38:35 CST"
,"Tue, 19 Jan 2021 15:39:48 CST"
60804,"Tue, 19 Jan 2021 15:40:25 CST"
60804,"Tue, 19 Jan 2021 15:47:58 CST"
60804,"Tue, 19 Jan 2021 15:44:49 CST"
60546,"Tue, 19 Jan 2021 15:47:10 CST"
60804,"Tue, 19 Jan 2021 15:49:00 CST"
60804,"Tue, 19 Jan 2021 15:52:14 CST"
60804,"Tue, 19 Jan 2021 15:51:05 CST"
60035,"Tue, 19 Jan 2021 15:53:04 CST"
60035,"Tue, 19 Jan 2021 15:54:04 CST"
,"Tue, 19 Jan 2021 15:54:17 CST"
60804,"Tue, 19 Jan 2021 15:56:56 CST"
60804,"Tue, 19 Jan 2021 16:02:22 CST"
60804,"Tue, 19 Jan 2021 15:58:27 CST"
60402,"Tue, 19 Jan 2021 16:00:39 CST"
60402,"Tue, 19 Jan 2021 16:01:37 CST"
60402,"Tue, 19 Jan 2021 16:10:31 CST"
60804,"Tue, 19 Jan 2021 16:03:47 CST"
60804,"Tue, 19 Jan 2021 16:04:40 CST"
60804,"Tue, 19 Jan 2021 16:15:46 CST"
60804,"Tue, 19 Jan 2021 16:05:54 CST"
60804,"Tue, 19 Jan 2021 16:17:35 CST"
60804,"Tue, 19 Jan 2021 16:10:19 CST"
60804,"Tue, 19 Jan 2021 16:10:57 CST"
60402,"Tue, 19 Jan 2021 16:13:46 CST"
60402,"Tue, 19 Jan 2021 16:21:20 CST"
60804,"Tue, 19 Jan 2021 16:25:00 CST"
60453,"Tue, 19 Jan 2021 16:30:59 CST"
60804,"Tue, 19 Jan 2021 16:36:20 CST"
60804,"Tue, 19 Jan 2021 16:38:58 CST"
60804,"Tue, 19 Jan 2021 16:44:33 CST"
60804,"Tue, 19 Jan 2021 16:46:46 CST"
60804,"Tue, 19 Jan 2021 16:46:08 CST"
60452,"Tue, 19 Jan 2021 16:48:02 CST"
60452,"Tue, 19 Jan 2021 16:52:08 CST"
60504-0000,"Wed, 20 Jan 2021 08:31:52 CST"
60804-0000,"Wed, 20 Jan 2021 08:33:38 CST"
60618-0000,"Wed, 20 Jan 2021 08:56:37 CST"
606180000,"Wed, 20 Jan 2021 08:57:42 CST"
60804-0000,"Wed, 20 Jan 2021 09:00:50 CST"
60804-0000,"Wed, 20 Jan 2021 09:07:42 CST"
60804,"Wed, 20 Jan 2021 09:20:18 CST"
60804-0000,"Wed, 20 Jan 2021 09:21:29 CST"
60804-0000,"Wed, 20 Jan 2021 15:13:13 CST"
60804,"Wed, 20 Jan 2021 15:15:40 CST"
,"Wed, 20 Jan 2021 15:16:45 CST"
60804-0000,"Wed, 20 Jan 2021 15:16:51 CST"
60804-0000,"Wed, 20 Jan 2021 16:04:04 CST"
60804,"Wed, 20 Jan 2021 15:23:57 CST"
60804,"Wed, 20 Jan 2021 15:31:26 CST"
60804,"Wed, 20 Jan 2021 15:33:46 CST"
,"Wed, 20 Jan 2021 16:56:11 CST"
,"Wed, 20 Jan 2021 17:02:45 CST"
,"Wed, 20 Jan 2021 17:03:35 CST"
,"Wed, 20 Jan 2021 17:06:47 CST"
60804-0000,"Wed, 20 Jan 2021 17:07:17 CST"
,"Wed, 20 Jan 2021 17:09:00 CST"
,"Wed, 20 Jan 2021 17:17:27 CST"
,"Wed, 20 Jan 2021 17:18:31 CST"
,"Wed, 20 Jan 2021 17:21:28 CST"
,"Wed, 20 Jan 2021 17:22:31 CST"
,"Wed, 20 Jan 2021 17:23:28 CST"
,"Wed, 20 Jan 2021 17:24:40 CST"
,"Wed, 20 Jan 2021 17:26:20 CST"
,"Wed, 20 Jan 2021 17:27:52 CST"
60804-0000,"Tue, 19 Jan 2021 08:51:34 CST"
60804-0000,"Tue, 19 Jan 2021 08:52:26 CST"
,"Tue, 19 Jan 2021 13:57:25 CST"
60035,"Tue, 19 Jan 2021 14:40:11 CST"
60035,"Tue, 19 Jan 2021 14:42:39 CST"
60804,"Tue, 19 Jan 2021 14:44:17 CST"
60804,"Tue, 19 Jan 2021 14:49:05 CST"
,"Tue, 19 Jan 2021 14:46:35 CST"
60614,"Tue, 19 Jan 2021 14:54:43 CST"
60614,"Tue, 19 Jan 2021 14:56:21 CST"
60804,"Tue, 19 Jan 2021 14:58:47 CST"
,"Tue, 19 Jan 2021 09:44:55 CST"
,"Tue, 19 Jan 2021 09:56:59 CST"
,"Tue, 19 Jan 2021 09:58:20 CST"
,"Tue, 19 Jan 2021 10:14:40 CST"
,"Tue, 19 Jan 2021 10:33:14 CST"
,"Tue, 19 Jan 2021 10:37:45 CST"
,"Tue, 19 Jan 2021 10:44:38 CST"
,"Tue, 19 Jan 2021 11:43:02 CST"
,"Tue, 19 Jan 2021 12:40:49 CST"
,"Tue, 19 Jan 2021 13:34:37 CST"
60487,"Wed, 20 Jan 2021 08:32:49 CST"
60804,"Wed, 20 Jan 2021 08:34:21 CST"
,"Wed, 20 Jan 2021 08:55:24 CST"
60201,"Wed, 20 Jan 2021 08:56:37 CST"
60026,"Wed, 20 Jan 2021 08:58:45 CST"
60804,"Wed, 20 Jan 2021 09:01:28 CST"
,"Wed, 20 Jan 2021 09:03:54 CST"
60804,"Wed, 20 Jan 2021 09:03:59 CST"
60804,"Wed, 20 Jan 2021 09:04:48 CST"
60804,"Wed, 20 Jan 2021 09:09:58 CST"
60804,"Wed, 20 Jan 2021 09:05:47 CST"
60804,"Wed, 20 Jan 2021 09:13:15 CST"
60804,"Wed, 20 Jan 2021 09:07:03 CST"
60025,"Wed, 20 Jan 2021 09:09:01 CST"
60025,"Wed, 20 Jan 2021 09:18:58 CST"
60804,"Wed, 20 Jan 2021 09:10:13 CST"
60804,"Wed, 20 Jan 2021 09:12:08 CST"
60623,"Wed, 20 Jan 2021 09:12:39 CST"
60623,"Wed, 20 Jan 2021 09:18:27 CST"
60804,"Wed, 20 Jan 2021 09:13:32 CST"
60804,"Wed, 20 Jan 2021 09:16:01 CST"
60804,"Wed, 20 Jan 2021 09:14:01 CST"
60804,"Wed, 20 Jan 2021 09:19:17 CST"
60623,"Wed, 20 Jan 2021 09:14:54 CST"
60804,"Wed, 20 Jan 2021 09:15:06 CST"
60804,"Wed, 20 Jan 2021 09:22:26 CST"
60502,"Wed, 20 Jan 2021 09:17:15 CST"
60502,"Wed, 20 Jan 2021 09:24:55 CST"
60502,"Wed, 20 Jan 2021 09:18:01 CST"
60502,"Wed, 20 Jan 2021 09:25:20 CST"
60804,"Wed, 20 Jan 2021 09:19:39 CST"
60804,"Wed, 20 Jan 2021 09:20:59 CST"
60804,"Wed, 20 Jan 2021 09:21:17 CST"
60804,"Wed, 20 Jan 2021 09:23:10 CST"
60804,"Wed, 20 Jan 2021 09:34:57 CST"
60804,"Wed, 20 Jan 2021 09:25:17 CST"
60804,"Wed, 20 Jan 2021 09:31:23 CST"
,"Thu, 21 Jan 2021 15:16:44 CST"
60546-0000,"Thu, 21 Jan 2021 11:20:30 CST"
,"Thu, 21 Jan 2021 12:23:35 CST"
,"Thu, 21 Jan 2021 12:26:39 CST"
,"Thu, 21 Jan 2021 12:58:04 CST"
,"Thu, 21 Jan 2021 13:00:35 CST"
,"Thu, 21 Jan 2021 13:10:21 CST"
,"Thu, 21 Jan 2021 13:17:37 CST"
,"Wed, 20 Jan 2021 16:56:42 CST"
60148-0000,"Wed, 20 Jan 2021 17:34:11 CST"
60453-0000,"Thu, 21 Jan 2021 08:47:23 CST"
60453-0000,"Thu, 21 Jan 2021 08:54:25 CST"
60804-0000,"Thu, 21 Jan 2021 09:01:31 CST"
60804-0000,"Thu, 21 Jan 2021 09:09:59 CST"
60643,"Thu, 21 Jan 2021 09:16:37 CST"
60643,"Thu, 21 Jan 2021 09:25:24 CST"
60632-0000,"Thu, 21 Jan 2021 09:18:39 CST"
60632-0000,"Thu, 21 Jan 2021 09:27:24 CST"
60804-0000,"Thu, 21 Jan 2021 09:20:49 CST"
60804-0000,"Thu, 21 Jan 2021 09:31:54 CST"
60804,"Thu, 21 Jan 2021 09:22:17 CST"
60804,"Thu, 21 Jan 2021 09:34:58 CST"
60402,"Thu, 21 Jan 2021 09:28:51 CST"
60513,"Thu, 21 Jan 2021 09:31:16 CST"
60513,"Thu, 21 Jan 2021 09:42:25 CST"
60513,"Thu, 21 Jan 2021 09:32:04 CST"
60513,"Thu, 21 Jan 2021 09:42:46 CST"
60804,"Thu, 21 Jan 2021 09:33:48 CST"
60804,"Thu, 21 Jan 2021 09:36:20 CST"
60804,"Thu, 21 Jan 2021 09:37:15 CST"
60804-0000,"Thu, 21 Jan 2021 09:45:15 CST"
60804-0000,"Thu, 21 Jan 2021 09:51:14 CST"
,"Thu, 21 Jan 2021 09:47:12 CST"
60804-0000,"Thu, 21 Jan 2021 09:47:34 CST"
60804-0000,"Thu, 21 Jan 2021 09:53:36 CST"
60804-0000,"Thu, 21 Jan 2021 09:49:43 CST"
60804-0000,"Thu, 21 Jan 2021 09:55:05 CST"
60804,"Thu, 21 Jan 2021 09:52:27 CST"
60804,"Thu, 21 Jan 2021 09:53:33 CST"
60804,"Thu, 21 Jan 2021 09:59:15 CST"
60611-0000,"Thu, 21 Jan 2021 09:56:18 CST"
60611-0000,"Thu, 21 Jan 2021 09:57:53 CST"
60611-0000,"Thu, 21 Jan 2021 10:07:06 CST"
,"Thu, 21 Jan 2021 09:59:18 CST"
60804-0000,"Thu, 21 Jan 2021 10:00:47 CST"
60804-0000,"Thu, 21 Jan 2021 10:08:28 CST"
60804-0000,"Thu, 21 Jan 2021 10:03:13 CST"
60638-0000,"Thu, 21 Jan 2021 10:06:11 CST"
60638-0000,"Thu, 21 Jan 2021 10:17:37 CST"
60629-0000,"Thu, 21 Jan 2021 10:09:15 CST"
60629-0000,"Thu, 21 Jan 2021 10:19:13 CST"
60402,"Thu, 21 Jan 2021 10:11:06 CST"
60402,"Thu, 21 Jan 2021 10:24:13 CST"
60629-0000,"Thu, 21 Jan 2021 10:14:27 CST"
60629-0000,"Thu, 21 Jan 2021 10:27:39 CST"
60629-0000,"Thu, 21 Jan 2021 10:16:16 CST"
,"Thu, 21 Jan 2021 10:17:09 CST"
60629-0000,"Thu, 21 Jan 2021 10:17:13 CST"
60402,"Thu, 21 Jan 2021 10:18:20 CST"
60402,"Thu, 21 Jan 2021 10:38:10 CST"
,"Thu, 21 Jan 2021 10:20:31 CST"
60804,"Thu, 21 Jan 2021 10:21:33 CST"
60804,"Thu, 21 Jan 2021 10:39:04 CST"
60804-0000,"Thu, 21 Jan 2021 10:23:22 CST"
60804-0000,"Thu, 21 Jan 2021 10:26:30 CST"
60526,"Thu, 21 Jan 2021 10:23:45 CST"
60201-0000,"Thu, 21 Jan 2021 10:26:56 CST"
60201-0000,"Thu, 21 Jan 2021 10:52:18 CST"
60201-0000,"Thu, 21 Jan 2021 10:28:03 CST"
60804,"Thu, 21 Jan 2021 10:31:16 CST"
60804-0000,"Thu, 21 Jan 2021 10:31:49 CST"
60804,"Thu, 21 Jan 2021 10:34:13 CST"
60804,"Thu, 21 Jan 2021 10:59:43 CST"
60026,"Thu, 21 Jan 2021 10:40:18 CST"
60026,"Thu, 21 Jan 2021 11:07:52 CST"
60026,"Thu, 21 Jan 2021 10:41:03 CST"
60026,"Thu, 21 Jan 2021 11:05:11 CST"
,"Thu, 21 Jan 2021 10:44:06 CST"
60402-0000,"Thu, 21 Jan 2021 10:44:35 CST"
60402-0000,"Thu, 21 Jan 2021 11:03:51 CST"
60804,"Thu, 21 Jan 2021 10:47:38 CST"
60804,"Thu, 21 Jan 2021 11:07:06 CST"
60804,"Thu, 21 Jan 2021 10:48:34 CST"
60804,"Thu, 21 Jan 2021 11:05:15 CST"
,"Thu, 21 Jan 2021 10:49:53 CST"
60804-0000,"Thu, 21 Jan 2021 10:52:00 CST"
60804-0000,"Thu, 21 Jan 2021 11:13:37 CST"
60062-0000,"Thu, 21 Jan 2021 10:53:30 CST"
60154-0000,"Thu, 21 Jan 2021 10:55:26 CST"
60154-0000,"Thu, 21 Jan 2021 11:15:28 CST"
60804,"Thu, 21 Jan 2021 10:55:37 CST"
60804,"Thu, 21 Jan 2021 11:09:08 CST"
60629-0000,"Thu, 21 Jan 2021 10:57:42 CST"
60629-0000,"Thu, 21 Jan 2021 11:11:28 CST"
,"Thu, 21 Jan 2021 10:57:50 CST"
,"Thu, 21 Jan 2021 10:59:36 CST"
60804,"Thu, 21 Jan 2021 10:59:48 CST"
60804,"Thu, 21 Jan 2021 11:16:20 CST"
60804-0000,"Thu, 21 Jan 2021 11:02:48 CST"
60804-0000,"Thu, 21 Jan 2021 11:28:37 CST"
60804-0000,"Thu, 21 Jan 2021 11:05:06 CST"
60804-0000,"Thu, 21 Jan 2021 11:26:37 CST"
60076-0000,"Thu, 21 Jan 2021 11:06:30 CST"
60076-0000,"Thu, 21 Jan 2021 11:30:05 CST"
606230000,"Thu, 21 Jan 2021 11:07:45 CST"
60561-0000,"Thu, 21 Jan 2021 13:30:59 CST"
60561-0000,"Thu, 21 Jan 2021 13:50:05 CST"
60804-0000,"Thu, 21 Jan 2021 14:05:05 CST"
60804-0000,"Thu, 21 Jan 2021 14:29:23 CST"
61761-0000,"Thu, 21 Jan 2021 14:12:08 CST"
61761-0000,"Thu, 21 Jan 2021 14:41:19 CST"
60804-0000,"Thu, 21 Jan 2021 11:09:12 CST"
60804-0000,"Thu, 21 Jan 2021 11:33:08 CST"
60632-0000,"Thu, 21 Jan 2021 11:11:05 CST"
60632-0000,"Thu, 21 Jan 2021 11:12:19 CST"
60632-0000,"Thu, 21 Jan 2021 11:35:25 CST"
,"Thu, 21 Jan 2021 11:14:51 CST"
,"Thu, 21 Jan 2021 11:15:37 CST"
60804-0000,"Thu, 21 Jan 2021 11:17:09 CST"
60804-0000,"Thu, 21 Jan 2021 11:38:07 CST"
60546-0000,"Thu, 21 Jan 2021 11:19:37 CST"
60546-0000,"Thu, 21 Jan 2021 11:42:31 CST"
60804,"Thu, 21 Jan 2021 11:22:24 CST"
60804,"Thu, 21 Jan 2021 11:44:32 CST"
60804,"Thu, 21 Jan 2021 11:23:43 CST"
60804,"Thu, 21 Jan 2021 11:46:01 CST"
60804,"Thu, 21 Jan 2021 11:24:53 CST"
60804,"Thu, 21 Jan 2021 11:46:00 CST"
60804-0000,"Thu, 21 Jan 2021 11:26:15 CST"
60804-0000,"Thu, 21 Jan 2021 11:48:43 CST"
60632-0000,"Thu, 21 Jan 2021 11:27:32 CST"
60632-0000,"Thu, 21 Jan 2021 11:51:14 CST"
60608-0000,"Thu, 21 Jan 2021 11:29:09 CST"
60608,"Thu, 21 Jan 2021 11:32:59 CST"
60459-0000,"Thu, 21 Jan 2021 11:35:12 CST"
60160,"Thu, 21 Jan 2021 11:37:26 CST"
60160,"Thu, 21 Jan 2021 12:05:53 CST"
60160,"Thu, 21 Jan 2021 11:38:37 CST"
60804,"Thu, 21 Jan 2021 11:40:30 CST"
60804,"Thu, 21 Jan 2021 11:41:44 CST"
60804,"Thu, 21 Jan 2021 12:11:42 CST"
60608,"Thu, 21 Jan 2021 11:45:29 CST"
60526-0000,"Thu, 21 Jan 2021 11:46:33 CST"
60526-0000,"Thu, 21 Jan 2021 12:12:32 CST"
,"Thu, 21 Jan 2021 11:48:54 CST"
60634,"Thu, 21 Jan 2021 11:50:04 CST"
60634,"Thu, 21 Jan 2021 12:14:32 CST"
60402-0000,"Thu, 21 Jan 2021 11:51:00 CST"
60402-0000,"Thu, 21 Jan 2021 12:16:11 CST"
60804,"Thu, 21 Jan 2021 11:53:00 CST"
60804,"Thu, 21 Jan 2021 12:20:45 CST"
60804,"Thu, 21 Jan 2021 11:53:57 CST"
60804,"Thu, 21 Jan 2021 11:55:57 CST"
60525-0000,"Thu, 21 Jan 2021 11:56:55 CST"
60525-0000,"Thu, 21 Jan 2021 12:20:36 CST"
60062-0000,"Thu, 21 Jan 2021 11:58:00 CST"
60062-0000,"Thu, 21 Jan 2021 12:24:12 CST"
60613-0000,"Thu, 21 Jan 2021 11:59:12 CST"
